country,year_at_age,crisis_name,crisis_type_m
United Kingdom,1946,Wartime,1
United Kingdom,1947,Wartime,1
United States,1914,,.
United States,1919,,.
United States,1920,,.
United States,1921,,.
United States,1930,Other Factors,3
United States,1931,Other Factors,3
United States,1932,Other Factors,3
United States,1933,Other Factors,3
United States,1945,Wartime,1
United States,1946,Wartime,1
United States,1947,Wartime,1
Venezuela,1914,,.
Venezuela,1915,,.
Venezuela,1916,,.
Venezuela,1931,Other Factors,3
Venezuela,1932,Other Factors,3
Venezuela,1933,Other Factors,3
Venezuela,1940,Other Factors,3
Venezuela,1941,Other Factors,3
Venezuela,1942,Other Factors,3
Venezuela,1958,Other Factors,3
Venezuela,1959,Other Factors,3
Venezuela,1960,Other Factors,3
Venezuela,1961,Other Factors,3
Venezuela,1978,Other Factors,3
Venezuela,1979,Other Factors,3
Venezuela,1980,Other Factors,3
Venezuela,1981,Other Factors,3
Venezuela,1982,Other Factors,3
Venezuela,1983,Other Factors,3
Venezuela,1984,Other Factors,3
Venezuela,1985,Other Factors,3
Venezuela,1989,Wartime,1
Venezuela,1994,Wartime,1
Venezuela,1995,Wartime,1
Venezuela,1996,Wartime,1
Venezuela,1997,Wartime,1
Venezuela,1998,Wartime,1
Venezuela,1999,Wartime,1
Venezuela,2000,Wartime,1
Venezuela,2001,Wartime,1
Venezuela,2002,Wartime,1
Venezuela,2003,Wartime,1
Vietnam,1965,Wartime,1
Vietnam,1966,Wartime,1
Vietnam,1967,Wartime,1
Vietnam,1968,Wartime,1
Vietnam,1974,Wartime,1
Vietnam,1975,Wartime,1
Zimbabwe,1920,,.
Zimbabwe,1921,,.
Zimbabwe,1974,Other Factors,3
Zimbabwe,1975,Other Factors,3
Zimbabwe,1976,Other Factors,3
Zimbabwe,1977,Other Factors,3
Zimbabwe,1992,Other Factors,3
Zimbabwe,1993,Other Factors,3
Zimbabwe,1999,Other Factors,3
Zimbabwe,2000,Other Factors,3
Zimbabwe,2001,Other Factors,3
Zimbabwe,2002,Other Factors,3
Zimbabwe,2003,Other Factors,3
Zimbabwe,2004,Other Factors,3
Zimbabwe,2005,Other Factors,3
Zimbabwe,2006,Other Factors,3
Zimbabwe,2007,Other Factors,3
Zimbabwe,2008,Other Factors,3
